"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW24,SW9,SW44,SW33,SW3,SW1,SW16,SW32,SW28,SW46,SW37,SW5,SW10,SW17,SW19,SW41,SW26,SW49,SW31,SW45,SW2,SW6,SW39,SW4,SW25,SW21,SW13,SW48,SW18,SW34,SW23,SW20,SW27,SW11,SW38,SW36,SW8,SW7,SW29,SW42,SW47,SW22,SW35,SW40,SW15,SW30,SW43,SW12,SW14";"TL3315NF100Q";49;"KEY";;;
2;"Logo1";"Bart's Design 30mm";1;"~";;;
3;"J1";"DS1020-07-16VBT1A-R";1;"DS1020-07-16VBT1A-R";;;
4;"D26,D27,D49,D37,D36,D9,D23,D47,D41,D20,D14,D19,D15,D30,D5,D11,D35,D39,D40,D6,D10,D17,D44,D1,D34,D43,D45,D24,D33,D8,D32,D3,D18,D42,D4,D31,D46,D38,D29,D25,D21,D22,D13,D28,D16,D7,D2,D12,D48";"D_SOD-523";49;"BAS70X-TP";;;
